neg,neg_pol_score
 소득인정액/NNG,0.7468517433769566
 경제/NNG;많/VA,0.693971206144749
 황병/NNG,0.6816614370361661
 보호주의/NNG,0.7588419013825559
 통안채/NNG;금리/NNG;내리/VV,0.6998773440693853
 온기/NNG,0.5940837681486739
 가계/NNG;대출/NNG;증가/NNG;둔화/NNG,0.4362488239788074
 뱅/MAG,0.5101509583779832
소비자/NNG;물가/NNG;상승률/NNG;낮/VA,0.3339780374050211
 추경/NNG,0.403174568333512
 성장전략/NNG,0.7157306616565665
 대타협/NNG,0.6165860748884359
 협조/NNG,0.7036933120386397
 엇/NNG,0.489316659453868
 민간기업/NNG,0.7079376244835679
 대출/NNG;금리/NNG;최대/NNG,0.5443156773764259
 금리/NNG;내리/VV,0.6543145277774406
 산유량/NNG,0.7158212003064077
 그야말로/MAG,0.7560637292715616
 발권력/NNG,0.535716997651293
 거쳐서/VV,0.7165534982095344
 통해서라도/VV,0.7277205657140986
 실업률/NNG;하락/NNG,0.7462518280400309
 성장/NNG;그치/VV,0.7501747767178996
 원자재/NNG;가격/NNG;강세/NNG,0.6361664519887356
 개구/NNG,0.6102004743565422
 가격/NNG;급락/NNG,0.736271923713089
 출장/NNG,0.7440050688741797
 경제/NNG;성장/NNG;자신/NNG,0.6530825589741911
 예기/NNG,0.7485469110179693
 금융지주회사/NNG,0.7009391216738142
 매길/VV,0.5167870684056641
 소임/NNG,0.7060609515609506
 스왑베이시스/NNG,0.7598359830004577
 부작용/NNG;우려/NNG,0.7208842169093653
 역성장/NNG,0.7576953258579288
 활주로/NNG,0.35662061621214114
 투입/NNG,0.7216348619627243
 면책/NNG,0.7511740105197217
 법제화/NNG,0.7430611837001665
 반고/NNG,0.5033640276678547
 문책/NNG,0.750513379641266
 경로당/NNG,0.6102004743565422
 가계/NNG;대출/NNG;부담/NNG,0.5395029835004187
 담창구/NNG,0.6530825589741911
 지식재산권/NNG,0.6131889064317504
 재정환율/NNG,0.7561398939446745
 신조/NNG,0.6919796738624692
 安/NNG,0.6155118768403873
 倍/NNG,0.6350286626715189
 아베노믹스/NNG,0.3976281453647592
 하락/NNG;약세/NNG,0.6259222257087238
 입찰가격/NNG,0.6285248129258079
 미취/NNG,0.586271043989619
 가칭/NNG,0.7565411821780231
 장려금/NNG,0.511695570194771
 근로장려세제/NNG,0.7543165284182055
 재취업/NNG,0.722217952740835
 처우/NNG,0.6296985287295909
 수령/NNG,0.7292639815480627
 약속어음/NNG,0.18906843966060888
 가이드라인/NNG,0.7508588721513434
 유휴/NNG,0.5615729484029053
 초음파/NNG,0.31234383255287396
 병실/NNG,0.4316986406778551
 어린이집/NNG,0.6924169593224764
 누리과정/NNG,0.6663580937698268
 채무재조정/NNG,0.6806135108385233
 어르신/NNG,0.4780582951293616
 디플레이션/NNG,0.6537073940722974
 일자리/NNG;확충/NNG,0.7047096387349966
 외투/NNG,0.6433471667907247
 선명/NNG,0.7260442730202566
 재생에너지/NNG,0.7468517433769566
 단절/NNG,0.7182184497011628
 금리/NNG;낮/VV;없/VA,0.4827131957635326
 주택가격/NNG;높/VA,0.4259234080266463
 진원/NNG,0.693971206144749
 리먼브라더스사태/NNG,0.7465476877879093
 나타난다고/VV,0.7543165284182055
 전통시장/NNG,0.6656425798712229
 달라집니다/VV,0.4362488239788074
 시간제근로자/NNG,0.5350363709817871
 조정대상지역/NNG,0.7330681755050166
 중증/NNG,0.6480345778420233
 환자/NNG,0.6753274067052294
 연말정산/NNG,0.6722632157594969
 주거지/NNG,0.6586501852229053
 고온/NNG,0.7304133337648446
 고압/NNG,0.5088058009399397
 소득/NNG;개선/NNG,0.6212248731705721
 대출/NNG;금리/NNG;인하/NNG,0.4957660800804154
 답했/VV,0.7317912121533842
 깔렸/VV,0.7509959861067534
 미혼/NNG,0.6190981190686528
 사다리/NNG,0.7025446321643822
 예비타당성조사/NNG,0.6569327140749969
경기/NNG;악화/NNG,0.7047096387349966
 자금난/NNG,0.679500690128641
 중기채/NNG,0.7304133337648446
 은행채/NNG,0.6772003264007582
 전단채/NNG,0.5462381604826909
 금품/NNG,0.7422194206682758
 내려진/VV,0.6474966782131859
 희소/NNG,0.5088058009399397
 경영계획/NNG,0.6464014074757339
 준공공임대주택/NNG,0.7249890527993129
 말일/NNG,0.7047096387349967
 자진/NNG,0.5737705952904801
 지수/NNG;긍정적/VAX,0.6907549924234127
 회복/NNG;견고/NNG,0.7501747767178996
 투자/NNG;개선/NNG,0.6530825589741911
 통관기준/NNG,0.7411738045188097
금융지원/NNG;강화/NNG,0.6375944350459493
 조성계획/NNG,0.38420029866893396
 농작물/NNG,0.6864054922743473
 인턴/NNG,0.6467221027476597
 실습/NNG,0.7071354894707453
 바우처/NNG,0.6876018417162199
 벤처펀드/NNG,0.3470957922127595
 파종/NNG,0.7107199554832694
 연금저축/NNG,0.6614841627216947
 개인형퇴직연금/NNG,0.519800404081499
 머무른/VV,0.6901193770634646
 비울/VV,0.36913362028976016
 운명/NNG,0.7478839481221393
 호소/NNG,0.7467818559729068
 원내대표/NNG,0.5757462063723149
 불발/NNG,0.6951704219670102
 교섭단체/NNG,0.4705265460345869
 주택단지/NNG,0.6375944350459493
 고의로/MAG,0.586271043989619
 긴장/NNG;늦/VV;없/VA,0.7449787609484251
 수출/NNG;악화/NNG,0.6644405165215683
 국민/NNG;부담/NNG,0.7416537875546557
 편성/NNG,0.562042667637051
 그레이트로테이션/NNG,0.6509150098239282
 다중채무자/NNG,0.6350286626715189
 신복/NNG,0.609499698617976
 미매각/NNG,0.5374432502664384
 중기물/NNG,0.6810775247599801
 암호/NNG,0.5784929870212658
 존재감/NNG,0.7359744851739938
 우려/NNG;목소리/NNG;높/VV,0.3390002635314124
 여신담당부/NNG,0.38420029866893396
 정책/NNG;확대/NNG,0.7107199554832694
 대출기업/NNG,0.6468975325870054
 우산/NNG,0.7299907020080009
 배당수익률/NNG,0.7204469968413939
 목상/NNG,0.39622599609084347
 채안펀드/NNG,0.1460720413998938
 재가동/NNG,0.6634539678704597
 프라이머리/NNG,0.5962927712373048
 규범/NNG,0.723734420883073
 wto/NNG,0.7358857333518445
 공공/NNG;투자/NNG;확대/NNG,0.6883843189187421
 질의응답/NNG,0.6595728204298351
 간접지원/NNG,0.689513743560118
 소비자/NNG;물가/NNG;하락/NNG,0.7458005797691073
 사업지/NNG,0.7010152238530307
 방문객/NNG,0.699142478981988
 주소/NNG,0.6738987445147578
 체납/NNG,0.689721131707666
 유연탄/NNG,0.6507407120572061
